date,impressions
17/9/2018,88
17/9/2018,48
17/9/2018,157
17/9/2018,124
17/9/2018,415
17/9/2018,1
17/9/2018,24
17/9/2018,129
17/9/2018,217
17/9/2018,201
17/9/2018,218
17/9/2018,4
17/9/2018,7
17/9/2018,16
17/9/2018,34
17/9/2018,45
17/9/2018,107
17/9/2018,0
17/9/2018,7
17/9/2018,16
17/9/2018,22
17/9/2018,36
17/9/2018,23
17/9/2018,5
17/9/2018,4
17/9/2018,13
17/9/2018,73
17/9/2018,111
17/9/2018,2
17/9/2018,12
17/9/2018,12
17/9/2018,21
17/9/2018,24
17/9/2018,1
17/9/2018,1
17/9/2018,0
17/9/2018,73
17/9/2018,1140
17/9/2018,1370
17/9/2018,1392
17/9/2018,6189
17/9/2018,65
17/9/2018,3208
17/9/2018,1814
17/9/2018,4078
17/9/2018,3476
17/9/2018,2459
17/9/2018,0
17/9/2018,5
17/9/2018,34
17/9/2018,39
17/9/2018,43
17/9/2018,92
17/9/2018,24
17/9/2018,43
17/9/2018,16
17/9/2018,39
17/9/2018,18
17/9/2018,31
17/9/2018,1
17/9/2018,7
17/9/2018,5
17/9/2018,4
17/9/2018,2
17/9/2018,1
17/9/2018,0
17/9/2018,1
17/9/2018,4
17/9/2018,0
17/9/2018,7
17/9/2018,38
17/9/2018,26
17/9/2018,63
17/9/2018,6
17/9/2018,2
17/9/2018,7
17/9/2018,44
17/9/2018,32
17/9/2018,13
17/9/2018,1
17/9/2018,1
17/9/2018,5
17/9/2018,3
17/9/2018,3
17/9/2018,3
17/9/2018,2
17/9/2018,11
17/9/2018,14
17/9/2018,8
17/9/2018,13
17/9/2018,0
17/9/2018,10
17/9/2018,8
17/9/2018,12
17/9/2018,8
17/9/2018,0
17/9/2018,1
17/9/2018,5
17/9/2018,19
17/9/2018,2
17/9/2018,0
17/9/2018,0
17/9/2018,1
17/9/2018,7
17/9/2018,6
17/9/2018,20
17/9/2018,14
17/9/2018,3
17/9/2018,1
17/9/2018,20
17/9/2018,18
17/9/2018,12
17/9/2018,5
17/9/2018,3
17/9/2018,4
17/9/2018,0
17/9/2018,0
17/9/2018,4
17/9/2018,0
17/9/2018,2
17/9/2018,0
17/9/2018,0
17/9/2018,7
17/9/2018,1
17/9/2018,2
17/9/2018,2
17/9/2018,1
17/9/2018,1
17/9/2018,3
17/9/2018,1
17/9/2018,2
17/9/2018,4
17/9/2018,1
17/9/2018,1
17/9/2018,1
17/9/2018,4
17/9/2018,7
17/9/2018,114
17/9/2018,1
17/9/2018,4
17/9/2018,2
17/9/2018,2
17/9/2018,5
17/9/2018,1
17/9/2018,2
17/9/2018,1
17/9/2018,2
17/9/2018,2
17/9/2018,10
17/9/2018,15
17/9/2018,36
17/9/2018,32
17/9/2018,1
17/9/2018,5
17/9/2018,1
17/9/2018,1
17/9/2018,0
17/9/2018,8
17/9/2018,17
17/9/2018,33
17/9/2018,0
17/9/2018,1
17/9/2018,2
17/9/2018,6
17/9/2018,0
17/9/2018,3
17/9/2018,7
17/9/2018,30
17/9/2018,11
17/9/2018,0
17/9/2018,1
17/9/2018,8
17/9/2018,4
17/9/2018,1
17/9/2018,1
17/9/2018,0
17/9/2018,3
17/9/2018,7
17/9/2018,2
17/9/2018,0
17/9/2018,1
17/9/2018,2
17/9/2018,2
17/9/2018,6
17/9/2018,7
17/9/2018,1
17/9/2018,2
17/9/2018,1
17/9/2018,3
17/9/2018,2
17/9/2018,0
17/9/2018,5
17/9/2018,5
17/9/2018,28
17/9/2018,4
17/9/2018,0
17/9/2018,1
17/9/2018,1
17/9/2018,4
17/9/2018,3
17/9/2018,6
17/9/2018,11
17/9/2018,12
17/9/2018,3
17/9/2018,0
17/9/2018,1
17/9/2018,6
